"","Tweet","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"82","Other countries on lockdown:OK
Philippines on Lockdown:Martial Law 
Ha?!Hindi ko kayo ma gets. You guys really want the virus to spread?FYI wala akong paki kay duterte.I want everyone to cooperate to slow the spread of the virus.We have a common enemy.Don’t add to the problem.<U+0001F62B>",2,0,1,2,0,1,0,2,3,2
"83","",0,0,0,0,0,0,0,0,0,0
"84","",0,0,0,0,0,0,0,0,0,0
"85","Philippines: *announces community quarantine, curfew hours, travel lockdown and class suspension*

chloe: but jaehyun? did jaehyun? where's jaehyun? is jaehyun eating? jaehyun is breathing? jaehyun",0,0,0,2,0,0,0,0,1,1
"86","",0,0,0,0,0,0,0,0,0,0
"87","",0,0,0,0,0,0,0,0,0,0
"88","Mass exodus out of Manila. The same exactly when thousands left Wuhan before the lockdown. This is how Covid 19 spread out of Wuhan. Good luck Philippines.",0,2,0,0,2,0,2,1,0,2
"89","",0,0,0,0,0,0,0,0,0,0
"90","COVID19

 LOCKDOWN AND COMMUNITY QUARANTINE IMPLEMENTED.

OTHER COUNTRIES : THEY FOLLOWED.

PHILIPPINES : NAG RALLY!

OHA! MABUHAY!",1,0,0,1,0,0,0,0,1,1
"91","There’s been lockdown to every country affected by covid, and strong military presence were implemented too, but they didn’t view it as Martial Law. <U+0001F937><U+0001F3FB> Only in the Philippines. ",1,0,0,1,0,0,0,1,0,1
"92","Remember when the people from Wuhan tried to flee before the lockdown? That’s exactly what is happening in the Philippines right now. So good luck everyone. I just hope nothing will happen. <U+0001F623> ",0,4,0,1,3,0,3,2,1,3
"93","",0,0,0,0,0,0,0,0,0,0
"94","other countries: government declares lockdown, citizens follow.

Philippines:
",0,0,0,1,0,0,0,0,1,0
"95","Covid-19 Update.
Total: 98 
",0,0,0,0,0,0,0,0,0,0
"96","Covid 19: <U+0001F608><U+0001F480>
Duterte: P",0,0,0,0,0,0,0,0,0,0
"97","Covid-19 Update.
Infected Count - 64.
<U+0001F637><U+0001F9A0>
",0,0,0,0,0,0,0,1,0,1
"98","Recap Episode 6 Kingdom.
24 minutes before Season 2.
<U+0001F9DF><U+200D><U+2640><U+FE0F><U+0001F9DF><U+200D><U+2642><U+FE0F>
",0,0,0,0,0,0,0,0,0,0
"99","",0,0,0,0,0,0,0,0,0,0
"100","Manila going on lockdown by 15March to April 14 with Marshal Law, curfew and permit system. troop deployment today. Total number of ",0,0,0,0,0,0,0,3,0,2
"101","Oh crap. I thought Manila is the only one on lockdown. There's a possibility we'll have lockdowns per region in the Philippines. No in and out of our islands!<U+0001F62D>",0,2,1,0,0,0,0,0,1,0
"102","",0,0,0,0,0,0,0,0,0,0
"103","",0,0,0,0,0,0,0,0,0,0
"104","I agree with the President to use Armed Forces/Military Forces to provide high security during lockdown to at least stop the transmission of the virus. So before you question, follow. Cooperation is what the Philippines needs right now.",1,0,0,2,0,0,0,3,2,6
"105","italy didn’t follow their curfew and their government’s attempts at a lockdown which is why they have the highest number of confirmed cases outside of china. you want the philippines to be like italy??? ",0,1,0,2,1,0,1,1,2,2
"106","Ugh
Our government's plan is just too incoherent.

We might see a nationwide lockdown in our hands.

",0,1,0,0,0,0,0,0,1,0
"107","in the philippines, metro manila's going to be on lockdown from march 15 to april 14. all schools are suspended as well, malls are also going to shut down :/ ",0,0,0,0,0,0,0,0,0,1
"108","",0,0,0,0,0,0,0,0,0,0
"109","",0,0,0,0,0,0,0,0,0,0
"110","One in five people in Philippines live in extreme poverty ",1,0,1,1,0,1,0,0,1,0
"111","One in five people in Philippines live in extreme poverty ",1,0,1,1,0,1,0,0,1,0
"112","Of ALL countries in ASEAN, and ALL countries in the WORLD, can someone explain why only DUTERTE’s Philippines is forced to first LOCKDOWN it’s CAPITAL of 12 million people before anyone any other city??",0,0,0,1,0,0,0,1,1,1
"113","FYI, Duterte’s Philippines is now the FIRST and ONLY COUNTRY in the world to be forced to first place its CAPITAL on a LOCKDOWN (and with no clear strategy and guidelines yet) —  thanks to best Mayor in the solar system <U+0001F44A><U+0001F44A><U+0001F44A>",0,0,0,1,0,0,0,1,1,1
